"('P1_l ', 'Nivel de Ensino')","('P1_m ', 'Área de Formação')","('P2_h ', 'Faixa salarial')","('P2_i ', 'Quanto tempo de experiência na área de dados você tem?')","('P2_g ', 'Nivel')","('P4_d_1 ', 'SQL')","('P4_d_2 ', 'R ')","('P4_d_3 ', 'Python')","('P4_d_4 ', 'C/C++/C#')","('P4_d_5 ', '.NET')","('P4_d_6 ', 'Java')","('P4_d_7 ', 'Julia')","('P4_d_8 ', 'SAS/Stata')","('P4_d_9 ', 'Visual Basic/VBA')","('P4_d_10 ', 'Scala')","('P4_d_11 ', 'Matlab')","('P4_d_12 ', 'Rust')","('P4_d_13 ', 'PHP')","('P4_d_14 ', 'JavaScript')","('P4_d_15 ', 'Não utilizo nenhuma linguagem')","('P1_b ', 'Genero')","('P1_c ', 'Cor/raca/etnia')","('P2_b ', 'Setor')","('P1_i_1 ', 'uf onde mora')","('P2_f ', 'Cargo Atual')","('P4_e ', 'Entre as linguagens listadas abaixo, qual é a que você mais utiliza no trabalho?')","('P2_o_1 ', 'Remuneração/Salário')","('P2_o_2 ', 'Benefícios')","('P2_o_3 ', 'Propósito do trabalho e da empresa')","('P2_o_4 ', 'Flexibilidade de trabalho remoto')","('P2_o_5 ', 'Ambiente e clima de trabalho')","('P2_o_6 ', 'Oportunidade de aprendizado e trabalhar com referências na área')","('P2_o_7 ', 'Plano de carreira e oportunidades de crescimento profissional')","('P2_o_8 ', 'Maturidade da empresa em termos de tecnologia e dados')","('P2_o_9 ', 'Qualidade dos gestores e líderes')","('P2_o_10 ', 'Reputação que a empresa tem no mercado')"
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,,,,,,,,,,,,,,,,,Masculino,Branca,Tecnologia/Fábrica de Software,DF,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,,,,,,,,,,,,,,,,,Feminino,Branca,Tecnologia/Fábrica de Software,MG,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de R$ 4.001/mês a R$ 6.000/mês,de 5 a 6 anos,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Setor Público,RJ,Analista de Dados/Data Analyst,SQL,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mestrado,Outra opção,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Júnior,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Prefiro não informar,Tecnologia/Fábrica de Software,MG,Analista de Negócios/Business Analyst,SQL,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 2.001/mês a R$ 3.000/mês,de 3 a 4 anos,Júnior,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Masculino,Parda,Tecnologia/Fábrica de Software,PR,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,JavaScript,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,,,,,,,,,,,,,,,,,Masculino,Branca,Entretenimento ou Esportes,RJ,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 12.001/mês a R$ 16.000/mês,de 5 a 6 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Internet/Ecommerce,PB,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Internet/Ecommerce,SP,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Python,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Graduação/Bacharelado,Outras Engenharias,Acima de R$ 40.001/mês,de 5 a 6 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Área da Saúde,PR,Cientista de Dados/Data Scientist,Python,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,,,,,,,,,,,,,,,,,Feminino,Branca,Área de Consultoria,MG,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Júnior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Setor Alimentício,SP,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Python,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Júnior,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Setor Alimentício,,Analista de Dados/Data Analyst,SQL,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,,,,,,,,,,,,,,,,,Feminino,Parda,Finanças ou Bancos,MG,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Educação,SC,Professor/Pesquisador,Python,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Pleno,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Parda,Varejo,SP,Analytics Engineer,SQL,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,Pleno,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Área de Consultoria,SP,Economista,R,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Não tenho graduação formal,,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,Sênior,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Masculino,Parda,Área de Consultoria,SP,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,SQL,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Não tenho graduação formal,,de R$ 16.001/mês a R$ 20.000/mês,de 7 a 10 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Preta,Tecnologia/Fábrica de Software,SP,Cientista de Dados/Data Scientist,Python,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 25.001/mês a R$ 30.000/mês,de 7 a 10 anos,,,,,,,,,,,,,,,,,Masculino,Parda,Setor Alimentício,SP,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Pleno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Masculino,Branca,Entretenimento ou Esportes,RS,Professor/Pesquisador,Não utilizo nenhuma das linguagens listadas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Estudante de Graduação,Outras Engenharias,de R$ 3.001/mês a R$ 4.000/mês,de 3 a 4 anos,Pleno,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Masculino,Amarela,Marketing,SP,Cientista de Dados/Data Scientist,SQL,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Sênior,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Masculino,Branca,Área da Saúde,SP,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de R$ 4.001/mês a R$ 6.000/mês,de 7 a 10 anos,Sênior,,,,,,,,,,,,,,,,Feminino,Branca,Área de Consultoria,BA,Analista de Negócios/Business Analyst,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mestrado,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Varejo,SC,Analista de Dados/Data Analyst,SQL,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Pós-graduação,Outras Engenharias,de R$ 16.001/mês a R$ 20.000/mês,de 7 a 10 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Setor Alimentício,SP,Cientista de Dados/Data Scientist,SQL,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 4.001/mês a R$ 6.000/mês,Mais de 10 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Indústria,PR,Analista de Dados/Data Analyst,SQL,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Entretenimento ou Esportes,RS,Analista de Dados/Data Analyst,SQL,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mestrado,Química / Física,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Área de Consultoria,PA,Analista de Dados/Data Analyst,SQL,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de R$ 20.001/mês a R$ 25.000/mês,de 4 a 6 anos,Sênior,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,SP,Cientista de Dados/Data Scientist,Python,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Pós-graduação,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Tecnologia/Fábrica de Software,RJ,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Python,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Júnior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Setor Alimentício,PR,Analista de BI/BI Analyst,SQL,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mestrado,Química / Física,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Pleno,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Parda,Educação,SP,Estatístico,R,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,,,,,,,,,,,,,,,,,Feminino,Branca,Área de Consultoria,MG,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Varejo,SP,Analista de Dados/Data Analyst,SQL,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Júnior,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Varejo,GO,Analista de BI/BI Analyst,SQL,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Varejo,PE,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Prefiro não informar,,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Júnior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Tecnologia/Fábrica de Software,,Cientista de Dados/Data Scientist,Python,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Preta,Finanças ou Bancos,DF,Analytics Engineer,SQL,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,Outra opção,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,Júnior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Feminino,Branca,Marketing,SP,Outra Opção,Não utilizo nenhuma das linguagens listadas,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Varejo,PR,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Outras Engenharias,de R$ 20.001/mês a R$ 25.000/mês,de 5 a 6 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Preta,Finanças ou Bancos,PE,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,Júnior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,SP,Cientista de Dados/Data Scientist,Python,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Júnior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Área da Saúde,SP,Analista de BI/BI Analyst,SAS/Stata,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Júnior,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,MG,Analista de Dados/Data Analyst,Python,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Mestrado,Outras Engenharias,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Pleno,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Preta,Finanças ou Bancos,ES,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Sênior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,RS,Cientista de Dados/Data Scientist,SQL,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Sênior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Feminino,Branca,Indústria,ES,Outra Opção,Não utilizo nenhuma das linguagens listadas,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Júnior,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Setor Automotivo,PR,Cientista de Dados/Data Scientist,SQL,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 16.001/mês a R$ 20.000/mês,de 4 a 6 anos,,,,,,,,,,,,,,,,,Masculino,Branca,Finanças ou Bancos,SP,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Pleno,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Finanças ou Bancos,RS,Economista,SAS/Stata,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
