"('P1_l ', 'Nivel de Ensino')","('P0', 'id')","('P1_m ', 'Área de Formação')","('P2_h ', 'Faixa salarial')","('P2_i ', 'Quanto tempo de experiência na área de dados você tem?')","('P2_g ', 'Nivel')","('P4_d ', 'Quais das linguagens listadas abaixo você utiliza no trabalho?')","('P4_d_1 ', 'SQL')","('P4_d_2 ', 'R ')","('P4_d_3 ', 'Python')","('P4_d_4 ', 'C/C++/C#')","('P4_d_5 ', '.NET')","('P4_d_6 ', 'Java')","('P4_d_7 ', 'Julia')","('P4_d_8 ', 'SAS/Stata')","('P4_d_9 ', 'Visual Basic/VBA')","('P4_d_10 ', 'Scala')","('P4_d_11 ', 'Matlab')","('P4_d_12 ', 'Rust')","('P4_d_13 ', 'PHP')","('P4_d_14 ', 'JavaScript')","('P4_d_15 ', 'Não utilizo nenhuma linguagem')","('P1_b ', 'Genero')","('P1_c ', 'Cor/raca/etnia')","('P2_b ', 'Setor')","('P1_i_1 ', 'uf onde mora')","('P2_f ', 'Cargo Atual')","('P4_e ', 'Entre as linguagens listadas abaixo, qual é a que você mais utiliza no trabalho?')","('P2_o ', 'Quais os principais critérios que você leva em consideração no momento de decidir onde trabalhar?')","('P2_o_1 ', 'Remuneração/Salário')","('P2_o_2 ', 'Benefícios')","('P2_o_3 ', 'Propósito do trabalho e da empresa')","('P2_o_4 ', 'Flexibilidade de trabalho remoto')","('P2_o_5 ', 'Ambiente e clima de trabalho')","('P2_o_6 ', 'Oportunidade de aprendizado e trabalhar com referências na área')","('P2_o_7 ', 'Plano de carreira e oportunidades de crescimento profissional')","('P2_o_8 ', 'Maturidade da empresa em termos de tecnologia e dados')","('P2_o_9 ', 'Qualidade dos gestores e líderes')","('P2_o_10 ', 'Reputação que a empresa tem no mercado')"
Pós-graduação,kri60dixslpb51kriz500nmlxbp0dgz5,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,Júnior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Prefiro não informar,Tecnologia/Fábrica de Software,PB,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,"Remuneração/Salário, Maturidade da empresa em termos de tecnologia e dados, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Pós-graduação,krvitk3y7nwlkrv6ud5zfrdrowp5s1vf,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,Sênior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,CE,Analista de BI/BI Analyst,SQL,"Remuneração/Salário, Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Doutorado ou Phd,ktnpzgn3c4hsaagktnpzzyy63atyyvqg,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 12.001/mês a R$ 16.000/mês,de 5 a 6 anos,Sênior,"SQL, Python, SAS/Stata",1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,SP,Cientista de Dados/Data Scientist,Python,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Doutorado ou Phd,ktsb5gx33u1j99ktxktsb52zf2mi4ec4,Química / Física,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Pleno,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Finanças ou Bancos,AL,Cientista de Dados/Data Scientist,SQL,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,kvfxpqdps1df1n6lfkvfxp5gcjbhmvar,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Júnior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Tecnologia/Fábrica de Software,DF,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Python,"Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Estudante de Graduação,kvlumj9og8tei324iskvlumticsr8qsl,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Pleno,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Área de Consultoria,SC,Analista de BI/BI Analyst,SQL,"Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área",1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,kvpik227sycgzh8ukgfui3kvpikecha0,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 4.001/mês a R$ 6.000/mês,de 7 a 10 anos,Sênior,SQL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Tecnologia/Fábrica de Software,PB,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,SQL,"Ambiente e clima de trabalho, Remuneração/Salário, Flexibilidade de trabalho remoto",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Doutorado ou Phd,kvq67b8k12eca98ss5kvq67c4u6dfu4s,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 6 anos,Sênior,"SQL, R, Python",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Finanças ou Bancos,PR,Cientista de Dados/Data Scientist,Python,"Remuneração/Salário, Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mestrado,kw7he5m7m0aw5wznkw7hef5nk5b8cqb8,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,Sênior,"SQL, R, Python",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Finanças ou Bancos,CE,Analista de BI/BI Analyst,SQL,"Remuneração/Salário, Propósito do trabalho e da empresa, Ambiente e clima de trabalho",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,kwbtmw1nlu370nyn9kwbtmwojat2vw4w,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,Júnior,Visual Basic/VBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Preta,Tecnologia/Fábrica de Software,SP,Analista de Dados/Data Analyst,Visual Basic/VBA,"Ambiente e clima de trabalho, Remuneração/Salário, Qualidade dos gestores e líderes",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Graduação/Bacharelado,kwn236uays6hbznzokwn23p07wmutl6a,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Sênior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Área de Consultoria,PR,Analista de Dados/Data Analyst,SQL,"Remuneração/Salário, Flexibilidade de trabalho remoto, Benefícios",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,kwsciagvgsru0h5kt9daokwsciaoe3mt,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Sênior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Setor Imobiliário/ Construção Civil,SP,Analytics Engineer,Python,Plano de carreira e oportunidades de crescimento profissional,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,kximprcia1et41tkximpo9nsvyl5c6d7,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,Menos de 1 ano,Sênior,"SQL, Python, C/C++/C#",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,SP,Analista de Suporte/Analista Técnico,SQL,Plano de carreira e oportunidades de crescimento profissional,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,kxq8z7bl1q8kwvr3w4bukxq8zmqdlpaw,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Júnior,"SQL, Python, R",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Varejo,MG,Cientista de Dados/Data Scientist,Python,"Remuneração/Salário, Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Pós-graduação,kxsi5t77522zr68iavtfnxikxsi5t1zf,Ciências Sociais,de R$ 3.001/mês a R$ 4.000/mês,de 3 a 4 anos,Júnior,SQL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Outra Opção,MG,Analista de BI/BI Analyst,SQL,"Remuneração/Salário, Flexibilidade de trabalho remoto, Benefícios",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Estudante de Graduação,ky6nm5nrjstky6nmpmk0n51rf5h7lc7p,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Júnior,Não utilizo nenhuma das linguagens listadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Masculino,Branca,Área de Consultoria,MG,Outra Opção,Não utilizo nenhuma das linguagens listadas,"Flexibilidade de trabalho remoto, Remuneração/Salário, Ambiente e clima de trabalho",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,ky7rnsq9nkfpu74rr0kky7rqrpemkwyw,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,Sênior,"SQL, JavaScript, Python",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Masculino,Parda,Entretenimento ou Esportes,RJ,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Python,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,kybg3ef0rahrqkyb4caw1fmb8r8q3nk4,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Pleno,"R, SQL, Python",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Tecnologia/Fábrica de Software,SP,Cientista de Dados/Data Scientist,R,"Remuneração/Salário, Maturidade da empresa em termos de tecnologia e dados, Propósito do trabalho e da empresa",1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Graduação/Bacharelado,kypm613wufifbwmdvtrtkypm6l7wlb01,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Júnior,"Python, SQL",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,SP,Analista de Dados/Data Analyst,Python,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,kzmtpxms4ljbigekcau5tharj4wdrsbr,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Júnior,"SQL, R, Python",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Área da Saúde,SP,Cientista de Dados/Data Scientist,Python,"Flexibilidade de trabalho remoto, Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Pós-graduação,l0a77nawvc8gtl7pl0a7vlt6kd129raj,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Júnior,SQL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Tecnologia/Fábrica de Software,MG,Analista de Dados/Data Analyst,SQL,"Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Oportunidade de aprendizado e trabalhar com referências na área",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mestrado,l0qwxsl3h3j5vubl0qwxsqmrq4v2mwus,Outras Engenharias,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,Júnior,SQL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Tecnologia/Fábrica de Software,SP,Analista de Dados/Data Analyst,SQL,"Remuneração/Salário, Flexibilidade de trabalho remoto, Propósito do trabalho e da empresa",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mestrado,l0tjykm0pfvx3x1w9l0tjyemnwfgupvl,Química / Física,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Pleno,SQL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Tecnologia/Fábrica de Software,SP,Analista de Dados/Data Analyst,SQL,"Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Ambiente e clima de trabalho",1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Estudante de Graduação,l0urk0cd7yyaq6fdlxl0urk03uw7huwz,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Pleno,"SQL, Python, Java",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Varejo,RJ,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,l11vh2599now65tl11vh27ac9c3trpip,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 3.001/mês a R$ 4.000/mês,de 4 a 6 anos,Pleno,"SQL, Python, Visual Basic/VBA",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Agronegócios,MG,Analista de Negócios/Business Analyst,Visual Basic/VBA,"Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados, Propósito do trabalho e da empresa",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Doutorado ou Phd,l1hoaoe5vfg92ukwal1hoaotyqz8vdqa,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 6 anos,Sênior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Indústria,PR,Cientista de Dados/Data Scientist,Python,"Remuneração/Salário, Benefícios, Maturidade da empresa em termos de tecnologia e dados",1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Pós-graduação,l2uo9ru4qdchmr1ex2uk8ul2uo9ru4hp,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Pleno,"SQL, R",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Outra Opção,SP,Analista de BI/BI Analyst,SQL,"Remuneração/Salário, Flexibilidade de trabalho remoto, Benefícios",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,l38o1wtr32guyd1zr92ul38o1ccavr9s,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Sênior,SQL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Setor Farmaceutico,SP,Analista de BI/BI Analyst,SQL,"Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário, Flexibilidade de trabalho remoto",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Estudante de Graduação,l3nzs7yq3a6q6287cml3nzsqjibe0p1q,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Pleno,"SQL, Python, Visual Basic/VBA",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Agronegócios,MG,Analista de Dados/Data Analyst,Python,"Remuneração/Salário, Propósito do trabalho e da empresa, Qualidade dos gestores e líderes",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Estudante de Graduação,l3v9dubde09gbgfefl3v9dtzrogbf8pj,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Júnior,"Python, SAS/Stata, SQL",1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,SP,Analista de Dados/Data Analyst,SQL,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Estudante de Graduação,l3zzlif6fgp27bztssp4fl3zzlif649r,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Sênior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Área de Consultoria,RS,Analista de BI/BI Analyst,SQL,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,l477z3sr2nxoh3gl477s5hbbealhxl10,Química / Física,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Pleno,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,SP,Cientista de Dados/Data Scientist,Python,"Flexibilidade de trabalho remoto, Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Pós-graduação,l49442fjwctq7l8yl49q9cg9pp4s4aiq,Outras Engenharias,de R$ 4.001/mês a R$ 6.000/mês,de 4 a 6 anos,Sênior,"SQL, Python, JavaScript",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Masculino,Branca,Outra Opção,PR,Analista de Negócios/Business Analyst,Python,"Remuneração/Salário, Propósito do trabalho e da empresa, Ambiente e clima de trabalho",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,l4i8pj1m37fghaamhpml4i8p65i1vm8c,Outras Engenharias,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Júnior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Setor Automotivo,ES,Analytics Engineer,SQL,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Propósito do trabalho e da empresa",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Pós-graduação,l61c6ti68zrl61amwpciywtpdo9qjawy,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Pleno,"SQL, Scala, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Feminino,Parda,Finanças ou Bancos,SP,Analista de Negócios/Business Analyst,Scala,"Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário, Maturidade da empresa em termos de tecnologia e dados",1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Graduação/Bacharelado,l6ub0e14lyum59xaq34l6ub0erpa27ux,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Sênior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Varejo,SP,Analista de Dados/Data Analyst,SQL,"Remuneração/Salário, Benefícios, Plano de carreira e oportunidades de crescimento profissional",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Mestrado,l74t0aoxudv7ex7de2l74t0abxdb40ek,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Pleno,"R, Python, SQL",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Setor Público,DF,Analista de Negócios/Business Analyst,R,"Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área",0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Estudante de Graduação,l77kxv4903arblcyl77kxvb43hvvwmmd,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Júnior,Não utilizo nenhuma das linguagens listadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Masculino,Parda,Outra Opção,RJ,Analista de BI/BI Analyst,Não utilizo nenhuma das linguagens listadas,"Remuneração/Salário, Maturidade da empresa em termos de tecnologia e dados, Flexibilidade de trabalho remoto",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Graduação/Bacharelado,l7jnd9xesi8260i45sl7jnd9rflvt8at,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,Mais de 10 anos,Sênior,SQL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Telecomunicação,SP,Analista de BI/BI Analyst,SQL,"Propósito do trabalho e da empresa, Remuneração/Salário, Benefícios",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,l7q0h8e0d3gvq1x5gxpl7q0h8e0uihs8,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Júnior,"Python, R",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Finanças ou Bancos,PR,Outra Opção,R,Remuneração/Salário,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mestrado,l7rv8frx4jdk3d5a93p3l7rvm8d9g90z,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,Sênior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Varejo,RJ,Cientista de Dados/Data Scientist,Python,"Benefícios, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,l7u4z39qdzr40if09l7u4jx9lmwapmkp,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de R$ 12.001/mês a R$ 16.000/mês,Não tenho experiência na área de dados,Sênior,Não utilizo nenhuma das linguagens listadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Feminino,Parda,Finanças ou Bancos,SP,Analista de Suporte/Analista Técnico,Não utilizo nenhuma das linguagens listadas,"Remuneração/Salário, Ambiente e clima de trabalho, Propósito do trabalho e da empresa",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Estudante de Graduação,l8s9aj3che4mwi7txq6el8s9antog4fc,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Júnior,Python,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Setor Público,RJ,Outra Opção,Python,Oportunidade de aprendizado e trabalhar com referências na área,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,l8v8j8ievsmt1dl8v8paszk06viunim0,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,Sênior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Varejo,PI,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,"Remuneração/Salário, Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
